Title,Instructor,Keywords,Learn,Description,course_id
Masterclass Why study Web Development & DSA Usecases in Industry,Sanket Singh,,"Why web development?, DSA Applications in Industry explained","Learning web development is becoming increasingly valuable in today's digital world. With the majority of businesses and services now operating online, there is a high demand for skilled web developers who can create and maintain responsive, user-friendly websites and applications. Studying web development can provide students with a diverse set of skills that can be applied to a variety of industries and job roles. In addition, web development is a constantly evolving field, meaning that there are always new technologies and frameworks to learn, making it an exciting and dynamic career path.",1
Building Scalable Applications in Java & Spring Masterclass,,,"Building Scalable Applications, Understanding Scalability, Designing for Scalability, Microservices, Case Studies","Building scalable applications in Java and Spring involves designing and implementing applications that can handle increasing amounts of data, traffic, and users. This requires following best practices and design principles such as loose coupling, modularization, and fault tolerance. Java and Spring provide powerful tools and frameworks for building distributed systems, monitoring performance, and optimizing resource utilization. By leveraging these tools and principles, developers can build robust, scalable applications that can adapt to changing business needs and user requirements.",2
Machine Learning Community Class,krish naik,"Machine learning basics,Data preprocessing,Supervised learning,Unsupervised learning,Classification algorithms,Regression analysis,Decision trees,Neural networks,Deep learning,Natural Language Processing (NLP),Computer Vision,Clustering techniques,Dimensionality reduction,Model evaluation,Feature engineering","Master Machine Learning on Python, Supervised Learning, Classification Algorithms, Regression Algorithms","This free course on machine learning is designed to provide beginners with a comprehensive introduction to the fundamental concepts and techniques used in this exciting field. The course covers topics such as supervised and unsupervised learning, linear regression, decision trees, and clustering. Through a combination of video lectures, interactive exercises, and real-world examples, students will gain a solid understanding of the principles of machine learning and how they can be applied to solve complex problems.",3
Mastering Databases,Sudhanshu Kumar,,"Fundamental concepts of databases, Data Integrity, Database Design, Data integrity","This course is an introduction to databases, their design, implementation, and management. Databases are critical components of modern information systems, and they play an essential role in managing and organizing data. The course provides a comprehensive overview of database concepts, including the fundamentals of data modeling, database design, data integrity, and security.",4
CarDekho End to End Project,krish naik,cardekho project,"End to End Project, Machine Learning Project","CarDekho is a self-propelled machine or vehicle gateway that shares evaluations, directions, pictures, and videos of various cars that are offered for sale in the Indian market. Information about used cars listed on www.Cardekho.Com is contained in their dataset, which is accessible on several platforms. There Are Several Uses For This Info, One Of Which Is Machine Learning Price Prediction. Construction of an AI-based pricing model for CarDekho's use of AI to enable real-time customer transactions.",5
Full Stack Data Science Masters,Sourangshu Pal,Full Stack Data Science Masters,"Python, Flask, Numpy, Pandas, Visualization, Databases, EDA, Linear Algebra, Statistics, Machine Learning, Deep learning, Computer vision, Natural language processing","This program teaches students how to extract insights from data using statistical and machine learning techniques, as well as data visualization and data operational skills. Students learn to work with popular data analysis tools such as Python, SQL, and machine learning frameworks, and work on hands-on projects to apply their knowledge.  Overall, the course provides students with the skills to make informed decisions based on data, relevant to a wide range of industries. You will learn all the stack required to work in data science, including machine learning operations and cloud infrastructure, as well as real-time industry projects.",6
Complete DSA in Python,Priya Bhatia,"Complete DSA in Python, DSA with Python course, DSA Python Online course, Complete DSA with Python Course","Introduction to Algorithms, Analysis in Algorithms, Array Data Structure, Heap Data Structure, Recursion, Divide and Conquer, Linked List Data Structure, Stack and Queue, Hashing Data Structure, Tree Data Structure, Binary Search Tree, Graph Traversal Algorithms, Application of greedy algorithm, Dynamic Programming, Research Area- P, NP, NP-Hard and NP-Complete Problems","A comprehensive chase to excel in any interview for the Data Structures and Algorithms. This course has been specifically designed to provide resources that would assist you in cracking problem-solving interviews. The presented problems in the course would suffice to look for positive outcomes in the interviews. Complete DSA (Data Structures and Algorithms) in Python is a comprehensive course that covers all the fundamental concepts, techniques, and best practices of DSA using Python programming language. You will learn different sorting algorithms such as bubble sort, selection sort, insertion sort, quicksort, and mergesort and how to implement them using Python. Additionally, you will learn how to search for elements in a data structure using binary search and linear search. The Programme features include the Course material and Lifetime dashboard access for the learner. The Course covers all the essential topics of DSA using Python programming language. It is well-designed for beginners who want to learn DSA from scratch and for professionals who want to enhance their DSA skills using Python.",7
Tableau Foundation Course,Dr Nishtha Jain,Tableau Foundation Course,"Tableau desktop installation, Connecting Tableau with a variety of data sources, including excel and CSV files., Creating interactive dashboard, Creating data stories, Generating business insights, Sorting, Filtering, Marks Card, Formatting in Tableau, Lines and Bands, Charts in Tableau","Tableau enables critical decision-makers to learn how to display data and uncover data patterns such as customer purchase behavior, sales trends, or production bottlenecks. This course will cover all of Tableau's capabilities that allow you to explore, experiment with, prepare, and present data fast and beautifully throughout an organisation, and we'll walk you through the entire process so you can make an impact and join the industry.",8
Complete Excel Course,Dr Nishtha Jain,Complete Excel Course,"String functions on Excel, Mathematical functions on Excel, Logical & error functions on Excel, Excel formatting, Custom formatting, Conditional formatting, Charts in Excel, Data analysis using Excel, Pivot tables, Dashboarding in Excel","Excel is perhaps the most widely used spreadsheet on personal computers. It's simple to use for a variety of computations and comes with a Data Analysis Tool Pack and a collection of statistical tools. So, if you suddenly find yourself looking to undertake some statistical analysis, you may choose to start using Excel. So, in this course, you will study all there is to know about Excel, from the fundamentals to advanced topics, and you will have a thorough knowledge of its power and how to use it for data analysis and other applications.",9
Automatic Number Plate Recognition,krish naik,Automatic Number Plate Recognition,"Real Time Projects, Automatic Number Plate Recognition, Object detection using tensorflow, Paddle OCR, Modular Coding Techniques, Learn about AWS basics along with CICD tools like Github actions for production-grade deployment, Flask web framework","In the following project, we will understand how to recognize License number plates using Python. We will utilize OpenCV for this project in order to identify the license number plates and the Paddle OCR for the characters and digits extraction from the plate. We will create a web app with a Flask framework that automatically recognizes the License Number Plate .",10
Build Modern ETL Data Pipeline using Informatica cloud,,Build Modern ETL Data Pipeline using Informatica cloud,"Real Time Projects, Build Modern ETL Data Pipeline using Infomatica cloud, Components of a Data Engineering Platform, Building ETL Pipeline, How to store data in the data warehouse , Build Dashboard using Tableau, Informatica Cloud","A very common use case in data engineering is to build an ETL system for a data warehouse, to have data loaded in from multiple separate databases to enable data analysts/scientists to be able to run queries on this data since the source databases are used by your applications and we do not want these analytic queries to affect our application performance and the source data. In this project, we will build an ETL system with Informatica cloud. Informatica Cloud is an on-demand subscription service that provides a complete platform for cloud integration and data management.",11
Build ETL Data Pipeline on AWS EMR Cluster,,Build ETL Data Pipeline on AWS EMR Cluster,"Real Time Projects, Build ETL Data Pipeline on AWS EMR Cluster, Components of a Data Engineering Platform, Building ETL Pipeline, Store data in the data warehouse , Build Dashboard using Tableau, Hive","With the advent of powerful data warehouses like SnowFlake, BigQuery, redshift spectrum, etc that allow separation of storage and execution, it has become very economical to store data in the data warehouse and then transform them as required. This Project goes over how to design such a ELT system using AWS EMR and Hive. The main objective is to keep the code complexity and server management low, while automating as much as possible",12
Create A Data Pipeline based on Messaging Using PySpark and Airflow,, Create A Data Pipeline based on Messaging Using PySpark and Airflow,"Real Time Projects, Create A Data Pipeline based on Messaging Using PySpark and Airflow , Build End to End Datapipeline, How to Extract Streaming Data into NFFI, Data Encryption, Data processing using pyspark, Build Dashboards","In this Project, we will learn how to Build a Big Data pipeline on AWS at scale. You will be using the Covid-19 dataset. This will be streamed in real time from an external API using NiFi. The complex JSON data will be parsed into CSV format using NiFi and the result will be stored in HDFS. Then this data will be sent to Kafka for data processing using PySpark. The processed data will then be consumed from Spark and stored in HDFS. Then a Hive external table is created on top of HDFS. Finally the cleaned, transformed data is stored in the data lake and deployed. Visualization is then done using Tableau and AWS QuickSight.",13
Hive Project to build a data warehouse for e-Commerce,Priya Bhatia,Hive Project to build a data warehouse for e-Commerce,"Real Time Projects, Hive Project to build a data warehouse for e-Commerce, Understanding various services provided by AWS, Creating an AWS EC2 instance, Moving the data from MySQL to HDFS, Data ingestions using Sqoop, Spark and Hive, Understanding different analytical functions in Hive","In this project, we will learn how to build a complete end-to-end data warehouse for an e-commerce application to perform Apache Hive
analytics on various datasets using big data tools like Apache Sqoop, Apache Spark, and HDFS. In order to achieve this task, we utilize the various services provided by AWS. For this hive project, we will delve further into some of the analytical features of the Hive.",14
