user_id,role,goal
4,Database Administrator,Enhance Data Visualization
9,Machine Learning Engineer,Advance in DevOps
26,Data Analyst,Deepen AI knowledge
43,Database Administrator,Enhance Data Visualization
57,Data Scientist,Deepen AI knowledge
65,Database Administrator,Deepen AI knowledge
98,Data Scientist,Deepen AI knowledge
119,Data Scientist,Advance in DevOps
122,Machine Learning Engineer,Optimize Databases
128,Data Scientist,Deepen AI knowledge
10,Data Scientist,Enhance Data Visualization
8,Data Analyst,Learn ML
18,Database Administrator,Strengthen Cybersecurity
20,AI Specialist,Optimize Databases
42,Machine Learning Engineer,Improve Python
51,Business Intelligence Analyst,Deepen AI knowledge
56,Data Analyst,Strengthen Cybersecurity
77,Cloud Engineer,Explore BI Tools
83,Cybersecurity Analyst,Deepen AI knowledge
87,Business Intelligence Analyst,Learn ML
97,Data Analyst,Master SQL
103,Data Analyst,Deepen AI knowledge
112,Cybersecurity Analyst,Improve Python
114,Cybersecurity Analyst,Strengthen Cybersecurity
117,DevOps Engineer,Improve Python
11,AI Specialist,Master SQL
13,Cybersecurity Analyst,Advance in DevOps
15,AI Specialist,Advance in DevOps
17,DevOps Engineer,Master SQL
22,DevOps Engineer,Improve Python
25,Software Engineer,Optimize Databases
31,Cybersecurity Analyst,Boost Cloud Skills
38,Data Analyst,Learn ML
39,Cybersecurity Analyst,Enhance Data Visualization
44,Database Administrator,Master SQL
62,Software Engineer,Master SQL
74,Machine Learning Engineer,Enhance Data Visualization
76,AI Specialist,Optimize Databases
79,Business Intelligence Analyst,Master SQL
86,Data Analyst,Improve Python
93,AI Specialist,Boost Cloud Skills
94,AI Specialist,Learn ML
95,Machine Learning Engineer,Optimize Databases
101,DevOps Engineer,Enhance Data Visualization
102,Cybersecurity Analyst,Advance in DevOps
104,Software Engineer,Improve Python
107,Data Scientist,Boost Cloud Skills
110,AI Specialist,Learn ML
6,Data Analyst,Advance in DevOps
16,Cloud Engineer,Enhance Data Visualization
23,Software Engineer,Enhance Data Visualization
28,Cloud Engineer,Deepen AI knowledge
36,Data Analyst,Optimize Databases
37,Software Engineer,Advance in DevOps
50,AI Specialist,Enhance Data Visualization
58,Business Intelligence Analyst,Deepen AI knowledge
63,Database Administrator,Improve Python
67,Data Analyst,Improve Python
78,Machine Learning Engineer,Explore BI Tools
85,Machine Learning Engineer,Optimize Databases
99,Data Analyst,Boost Cloud Skills
105,Software Engineer,Improve Python
108,Cybersecurity Analyst,Improve Python
111,Business Intelligence Analyst,Improve Python
116,Database Administrator,Master SQL
126,Software Engineer,Boost Cloud Skills
5,DevOps Engineer,Enhance Data Visualization
12,Database Administrator,Improve Python
14,Cybersecurity Analyst,Boost Cloud Skills
21,Machine Learning Engineer,Optimize Databases
41,Data Analyst,Master SQL
52,Database Administrator,Optimize Databases
53,Machine Learning Engineer,Strengthen Cybersecurity
61,Data Analyst,Enhance Data Visualization
71,Business Intelligence Analyst,Deepen AI knowledge
72,AI Specialist,Learn ML
81,DevOps Engineer,Strengthen Cybersecurity
89,Data Scientist,Master SQL
92,Data Analyst,Advance in DevOps
106,Machine Learning Engineer,Advance in DevOps
113,DevOps Engineer,Improve Python
115,Data Analyst,Deepen AI knowledge
121,DevOps Engineer,Strengthen Cybersecurity
1,Database Administrator,Enhance Data Visualization
2,Database Administrator,Deepen AI knowledge
3,Data Analyst,Deepen AI knowledge
7,Machine Learning Engineer,Learn ML
24,Cybersecurity Analyst,Explore BI Tools
34,Database Administrator,Enhance Data Visualization
